# Ahmed Car Model, slant - angle = 25 degree
# Profiles on plane x=500mm
# Origin of coordinate system:
#      x=0: end of the car, y=0: symmetry plane, z=0: ground plane
#
#  S.Becker/H. Lienhart/C.Stoots
#  Insitute of Fluid Mechanics
#  University Erlangen-Nuremberg
#  Erlangen, Germany
#
#  x[mm]       y[mm]      z[mm]      U[m/s]     V[m/s]     W[m/s]    urms[m/s]  vrms[m/s]  wrms[m/s]  uv[m2/s2]  uw[m2/s2]  uuu[m3/s3] vvv[m3/s3] www[m3/s3] uuv[m3/s3] uuw[m3/s3] uvv[m3/s3] uww[m3/s3]
   500.000   -350.000    138.000     39.800      1.130      1.550      0.499      0.604      0.441     -0.078      0.008     -0.018     -0.099      0.040     -0.034      0.009      0.022      0.003
   500.000   -350.000    158.000     39.800      1.450      1.390      0.454      0.563      0.355     -0.070     -0.001     -0.020     -0.074      0.014     -0.017      0.001      0.019     -0.002
   500.000   -350.000    178.000     39.900      1.750      1.330      0.430      0.565      0.330     -0.077      0.002     -0.026     -0.054      0.000     -0.021      0.000      0.018     -0.002
   500.000   -350.000    198.000     39.900      2.100      1.250      0.415      0.542      0.309     -0.070      0.001     -0.023     -0.076      0.003     -0.014     -0.001      0.022     -0.001
   500.000   -350.000    218.000     39.900      2.030      1.080      0.401      0.542      0.297     -0.065      0.002     -0.028     -0.066     -0.004     -0.012     -0.003      0.023     -0.003
   500.000   -350.000    238.000     39.900      2.210      0.927      0.395      0.535      0.294     -0.068      0.000     -0.024     -0.073     -0.004     -0.012     -0.002      0.020     -0.002
   500.000   -350.000    258.000     39.900      2.260      0.708      0.386      0.529      0.301     -0.069      0.000     -0.027     -0.071     -0.009     -0.012     -0.002      0.021     -0.002
   500.000   -350.000    278.000     39.900      2.310      0.438      0.490      0.525      0.287     -0.064      0.000     -4.640     -0.075     -0.003     -0.008      0.013      0.019      0.000
   500.000   -350.000    298.000     39.900      2.340      0.314      0.382      0.518      0.290     -0.065      0.000     -0.024     -0.079     -0.008     -0.014     -0.002      0.022     -0.002
   500.000   -350.000    318.000     39.900      2.070      0.147      0.376      0.522      0.293     -0.056     -0.001     -0.024     -0.069     -0.005     -0.012     -0.003      0.021     -0.002
   500.000   -350.000    338.000     39.900      2.010     -0.086      0.370      0.523      0.272     -0.063     -0.003     -0.024     -0.066     -0.008     -0.013     -0.005      0.021     -0.003
   500.000   -350.000    358.000     39.900      1.930     -0.246      0.368      0.531      0.274     -0.055     -0.004     -0.020     -0.067     -0.007     -0.011     -0.002      0.022      0.000
   500.000   -350.000    378.000     39.900      1.660     -0.331      0.367      0.509      0.265     -0.057     -0.003     -0.023     -0.057     -0.005     -0.010     -0.003      0.020     -0.001
   500.000   -350.000    398.000     40.000      1.680     -0.323      0.363      0.510      0.261     -0.060     -0.006     -0.023     -0.055     -0.007     -0.018     -0.003      0.017     -0.002
   500.000   -350.000    418.000     40.000      1.880     -0.368      0.364      0.526      0.263     -0.059     -0.004     -0.026     -0.061     -0.005     -0.007     -0.002      0.019     -0.002
   500.000   -350.000    438.000     40.000      1.770     -0.279      0.363      0.529      0.269     -0.065     -0.005     -0.025     -0.061     -0.008     -0.016     -0.003      0.019     -0.001
   500.000   -350.000    488.000     40.000      1.520     -0.319      0.364      0.369      0.264     -0.006     -0.007     -0.025     -0.009     -0.005     -0.011     -0.003     -0.004     -0.001
   500.000   -350.000    538.000     40.000      1.360     -0.295      0.360      0.366      0.258     -0.007     -0.006     -0.026     -0.011     -0.006     -0.009     -0.003     -0.002     -0.001
   500.000   -300.000     28.000     27.500     -2.330      1.020      3.830      3.593      2.630      2.317     -3.170     -7.580    -15.994      2.030     -5.564      1.760     -6.682     -1.730
   500.000   -300.000     38.000     29.100     -1.360      1.360      3.770      3.561      2.690      2.407     -3.590     -9.040     -9.407      4.310     -2.939      3.640     -4.061     -1.960
   500.000   -300.000     58.000     32.400      0.070      1.900      3.600      3.118      2.530      2.032     -3.150    -15.100     -9.969      5.950     -5.650      4.890     -9.494     -4.470
   500.000   -300.000     78.000     35.900      0.630      2.360      3.050      2.419      2.130      1.730     -2.390    -23.800     -9.216      6.310     -7.620      7.940     -8.688     -6.560
   500.000   -300.000     98.000     38.600      0.920      2.610      2.020      1.716      1.600      0.772     -1.100    -13.100     -6.110      4.340     -3.836      4.960     -3.749     -4.110
   500.000   -300.000    118.000     39.500      1.400      2.690      1.230      1.137      1.100      0.138     -0.301     -2.440     -2.438      1.810     -0.978      1.400     -0.631     -1.090
   500.000   -300.000    138.000     39.700      1.700      2.610      0.834      0.776      0.794      0.050     -0.058      0.101     -0.612      0.674     -0.238      0.219     -0.069     -0.102
   500.000   -300.000    158.000     39.700      2.070      2.360      0.669      0.667      0.627      0.006      0.001      0.060     -0.404      0.328     -0.141      0.105     -0.001      0.019
   500.000   -300.000    178.000     39.700      2.250      2.140      0.566      0.570      0.482     -0.002     -0.006     -0.031     -0.149      0.120     -0.045      0.042     -0.002     -0.021
   500.000   -300.000    198.000     39.700      2.260      2.060      0.504      0.529      0.439      0.000      0.001      0.003     -0.086      0.053     -0.027      0.016      0.000      0.006
   500.000   -300.000    218.000     39.700      2.130      1.680      0.465      0.499      0.398     -0.016      0.007     -0.021     -0.052      0.026     -0.016      0.005      0.000      0.007
   500.000   -300.000    238.000     39.700      2.650      1.460      0.440      0.472      0.338     -0.019      0.000     -0.023     -0.052      0.004     -0.013      0.000      0.001     -0.003
   500.000   -300.000    258.000     39.700      3.100      1.210      0.416      0.454      0.317     -0.011      0.001     -0.029     -0.037      0.004     -0.012     -0.002     -0.001     -0.001
   500.000   -300.000    278.000     39.700      3.080      0.726      0.402      0.415      0.305     -0.007     -0.001     -0.027     -0.027     -0.003     -0.013     -0.001     -0.003      0.001
   500.000   -300.000    298.000     39.700      3.160      0.434      0.389      0.389      0.279     -0.006     -0.003     -0.031     -0.023     -0.007     -0.012     -0.003     -0.007     -0.003
   500.000   -300.000    318.000     39.800      2.960      0.273      0.376      0.384      0.270     -0.005     -0.006     -0.022     -0.028     -0.006     -0.013     -0.002     -0.006     -0.001
   500.000   -300.000    338.000     39.700      2.810      0.121      0.375      0.386      0.274     -0.007     -0.004     -0.025     -0.026     -0.003     -0.007     -0.003     -0.004     -0.002
   500.000   -300.000    358.000     39.700      2.660     -0.193      0.371      0.396      0.269     -0.006     -0.006     -0.030     -0.033     -0.004     -0.010     -0.002     -0.004     -0.002
   500.000   -300.000    378.000     39.800      2.040     -0.406      0.367      0.530      0.263     -0.072     -0.007     -0.025     -0.083     -0.005     -0.009     -0.002      0.020     -0.001
   500.000   -300.000    398.000     39.800      2.260     -0.491      0.364      0.401      0.253     -0.007     -0.006     -0.026     -0.026     -0.004     -0.009     -0.004     -0.004     -0.001
   500.000   -300.000    418.000     39.800      2.160     -0.647      0.359      0.391      0.262     -0.008     -0.005     -0.028     -0.024     -0.008     -0.010     -0.004     -0.006     -0.003
   500.000   -300.000    438.000     39.900      2.100     -0.785      0.354      0.399      0.253     -0.006     -0.007     -0.019     -0.026     -0.004     -0.011     -0.003     -0.007     -0.002
   500.000   -300.000    488.000     39.900      1.710     -0.782      0.355      0.371      0.244     -0.011     -0.002     -0.029     -0.013     -0.008     -0.010     -0.003     -0.004     -0.002
