(title "X Velocity")
(labels "Position" "X Velocity")

((xy/key/label "wake_x1")
0.049	40.3668
0.029	40.368
0.029	40.3678
0.029	40.3675
0.049	40.3672
0.039	40.3669
0.049	40.3679
0.029	40.369
0.029	40.3685
0.069	40.368
0.069	40.3673
0.059	40.3674
0.019	40.3705
0.019	40.3712
0.019	40.3696
0.039	40.3709
0.029	40.3719
0.049	40.3697
0.029	40.3696
0.049	40.3693
0.029	40.3703
0.069	40.3692
0.019	40.3717
0.019	40.373
0.089	40.367
0.089	40.3678
0.079	40.3672
0.059	40.3686
0.069	40.3678
0.00759305	40.3504
0.0076054	40.3493
0.0100991	40.3629
0.0127301	40.3696
0.019	40.3708
0.00871496	40.36
0.0124535	40.3667
0.0331512	40.3772
0.0384673	40.3753
0.028426	40.3769
0.0466644	40.3745
0.0489369	40.3736
0.049	40.3711
0.029	40.372
0.029	40.3711
0.069	40.3705
0.019	40.3746
0.019	40.3757
0.089	40.3688
0.0101286	40.3654
0.00739329	40.3552
0.0122438	40.3728
0.00758098	40.3557
0.0134346	40.3729
0.109	40.3665
0.099	40.3668
0.109	40.3672
0.079	40.3671
0.089	40.3667
0.0519033	40.3731
0.0586867	40.3705
0.064877	40.3696
0.0687539	40.3686
0.00378416	40.3366
0.00406184	40.3382
0.00186096	40.3347
7.45058e-10	40
7.45058e-10	40
0.00359393	40.3404
0.0230954	40.3766
0.0185335	40.3733
0.00735358	40.3435
0.00737288	40.3439
0.0100233	40.3589
0.00175826	40.3204
0.0475722	40.3755
0.047626	40.3757
0.0450321	40.3772
0.0378568	40.3797
0.0328452	40.3799
0.025051	40.3799
0.0202399	40.3779
0.0513462	40.3734
0.0519059	40.3727
0.0513838	40.3744
0.00860257	40.3559
0.0136782	40.3673
0.0116337	40.3634
0.0156723	40.3699
0.0166596	40.3711
0.0375278	40.3798
0.0456107	40.3775
0.0167432	40.3734
0.0248261	40.38
0.0559886	40.3732
0.049	40.3732
0.029	40.374
0.029	40.373
0.069	40.3721
0.019	40.3763
0.019	40.3763
0.089	40.3701
0.0109298	40.3744
0.00756874	40.3598
0.0096848	40.3704
0.00740047	40.359
0.011948	40.3727
0.109	40.3683
7.45058e-10	40
0.00156796	40.3351
7.45058e-10	40
0.00396346	40.3455
7.45058e-10	40
0.129	40.3659
0.119	40.3662
0.129	40.3666
0.099	40.3664
0.109	40.3662
0.0786337	40.3673
0.0747426	40.3679
0.0872947	40.3665
0.0891281	40.3663
0.0638488	40.3709
0.0584443	40.3727
0.0748494	40.3683
0.0668027	40.3703
7.45058e-10	40
0.00414582	40.3301
7.45058e-10	40
0.0016339	40.3132
0.00475102	40.3356
7.45058e-10	40
0.0583124	40.373
0.00727403	40.3451
0.00698558	40.343
0.00677786	40.3416
0.00729041	40.3435
0.00403738	40.327
0.00464395	40.3362
0.0663953	40.3704
0.049	40.3754
0.029	40.3763
0.029	40.3751
0.069	40.3741
0.019	40.3763
0.019	40.3768
0.089	40.3718
0.0120175	40.3763
0.00928119	40.3717
0.0126921	40.3767
0.00852951	40.3708
0.109	40.3696
0.00367765	40.3446
7.45058e-10	40
0.00446478	40.3497
0.129	40.3677
0.149	40.3659
0.149	40.3652
0.139	40.3656
0.119	40.3659
0.129	40.3657
0.0939355	40.3662
0.0987531	40.3661
0.106662	40.3659
0.108839	40.3659
0.0795893	40.3677
0.0869399	40.3667
0.0875422	40.3666
0.094123	40.3662
0.079097	40.3677
0.0871799	40.3667
7.45058e-10	40
7.45058e-10	40
0.049	40.3779
0.029	40.3788
0.029	40.3775
0.069	40.3763
0.019	40.3782
0.019	40.3793
0.089	40.3737
0.00684143	40.3612
0.012706	40.3767
0.0103345	40.3731
0.109	40.3712
0.00615874	40.3594
0.00176574	40.3381
0.00652224	40.3587
0.00163463	40.3427
0.00529156	40.3554
0.129	40.369
7.45058e-10	40
7.45058e-10	40
0.149	40.367
0.169	40.3644
0.169	40.3651
0.159	40.3648
0.139	40.3654
0.149	40.365
0.11835	40.3656
0.122449	40.3656
0.128461	40.3655
0.0999132	40.3659
0.107446	40.3657
0.122529	40.3654
0.12006	40.3654
0.107971	40.3656
0.107964	40.3656
0.0998816	40.3658
0.029	40.3801
0.029	40.3816
0.049	40.3806
0.069	40.3789
0.019	40.3801
0.019	40.3813
0.089	40.3759
0.00975201	40.3734
0.0127689	40.3782
0.00901263	40.3705
0.109	40.3732
0.00189855	40.3464
7.45058e-10	40
7.45058e-10	40
0.00471134	40.357
0.0018306	40.3503
7.45058e-10	40
0.129	40.3706
0.149	40.3683
0.169	40.3662
0.189	40.3635
0.179	40.364
0.189	40.3642
0.159	40.3646
0.169	40.3642
0.13628	40.3652
0.138798	40.3652
0.148311	40.3649
0.136426	40.3651
0.12877	40.3652
0.120666	40.3654
0.128749	40.3652
0.049	40.3836
0.029	40.3831
0.029	40.3846
0.069	40.3817
0.019	40.3828
0.019	40.3843
0.089	40.3785
0.00849241	40.3688
0.00916032	40.371
0.0127371	40.38
0.0110522	40.3732
0.00797677	40.366
0.00691643	40.3642
0.109	40.3754
0.00398565	40.3551
7.45058e-10	40
0.00175216	40.3522
7.45058e-10	40
0.129	40.3725
0.149	40.3699
0.169	40.3675
0.189	40.3652
0.209	40.3625
0.199	40.363
0.209	40.3632
0.179	40.3637
0.189	40.3633
0.153778	40.3646
0.158995	40.3645
0.168188	40.364
0.160089	40.3645
0.141558	40.3649
0.149002	40.3646
0.153913	40.3645
0.141451	40.3649
0.149534	40.3646
0.029	40.3862
0.029	40.3878
0.049	40.3866
0.069	40.3848
0.019	40.3862
0.019	40.3887
0.089	40.3813
0.0126669	40.3827
0.00919317	40.3767
0.00764307	40.3687
0.00882797	40.3708
0.109	40.3779
0.00378209	40.3569
7.45058e-10	40
0.00181779	40.3539
7.45058e-10	40
0.129	40.3748
0.149	40.3718
0.169	40.3691
0.189	40.3665
0.209	40.3642
0.219	40.362
0.229	40.3614
0.229	40.3621
0.199	40.3628
0.209	40.3623
0.173853	40.3638
0.171876	40.3639
0.178499	40.3636
0.185246	40.3633
0.188607	40.3632
0.170937	40.3637
0.170335	40.3637
0.162889	40.3641
0.159457	40.3643
0.170318	40.3637
0.162235	40.364
0.17425	40.3637
0.182734	40.3632
0.185084	40.3632
0.049	40.3899
0.029	40.3895
0.029	40.3913
0.069	40.3883
0.019	40.3915
0.019	40.3943
0.089	40.3844
0.0102048	40.3847
0.00855278	40.3753
0.00700961	40.3688
0.00713467	40.3691
0.0126549	40.3857
0.00857853	40.3748
0.109	40.3807
0.00799028	40.3715
0.00178508	40.3533
7.45058e-10	40
0.0035645	40.3576
7.45058e-10	40
0.129	40.3773
0.149	40.374
0.169	40.371
0.189	40.3681
0.209	40.3655
0.229	40.3631
0.249	40.3609
0.249	40.3602
0.239	40.3608
0.219	40.3618
0.229	40.3612
